10 Slot Bag;Сумка на 10 ячеек;Tasche mit 10 Plätzen;Bolsa de 10 ranuras;Bolsa de 10 casilleros;Sac à 10 emplacements;Borsa da 10 scomparti;10칸 가방;Torba z 10 miejscami;Bolsa com 10 divisões;10格包;10格背包
Hyperion Lab Artifact Energy Field Hot Spot;Артефакт в лаборатории «Гипериона» - энергетическое поле - активная область;Hyperion - Labor, Artefakt - Energiefeld, Hotspot;Punto destacado del campo de energía del laboratorio del Hyperion;Hiperión - Laboratorio - Artefacto - Campo de energía - Punto activo;Point sensible Énergie Artéfact Labo de l’Hypérion;Laboratorio Hyperion - punto chiave campo energia artefatto;히페리온 연구실 유물 에너지장 활성화 지점;Hyperion – laboratorium – pole energetyczne artefaktu – hotspot;Hipérion - Laboratório - Artefato - Energia Campo - Ponto de interesse;休伯利安实验室 神器能量场 热点;海伯利昂號 - 實驗室 - 神器力場點擊區
Hyperion Lab Artifact Hot Spot (Part 1);Артефакт в лаборатории «Гипериона» - активная область (часть 1);Hyperion - Labor, Artefakt - Hotspot (Teil 1);Punto destacado del artefacto del laboratorio del Hyperion (parte 1);Hiperión - Laboratorio - Artefacto - Punto activo (Parte 1);Point sensible Artefact Labo de l’Hypérion (Partie 1);Laboratorio Hyperion - punto chiave artefatto (parte 1);히페리온 연구실 유물 활성화 지점 (1 장);Hyperion – laboratorium – artefakt – hotspot (część 1);Hipérion - Laboratório - Artefato - Ponto de interesse (Parte 1);休伯利安实验室 神器 热点 (第1部分);海伯利昂號 - 實驗室 - 神器點擊區（第1部份）
Hyperion Lab Artifact Hot Spot (Part 2);Артефакт в лаборатории «Гипериона» - активная область (часть 2);Hyperion - Labor, Artefakt - Hotspot (Teil 2);Punto destacado del artefacto del laboratorio del Hyperion (parte 2);Hiperión - Laboratorio - Artefacto - Punto activo (Parte 2);Point sensible Artéfact Labo de l’Hypérion (Partie 2);Laboratorio Hyperion - punto chiave artefatto (parte 2);히페리온 연구실 유물 활성화 지점 (2 장);Hyperion – laboratorium – artefakt – hotspot (część 2);Hipérion - Laboratório - Artefato - Ponto de interesse (Parte 2);休伯利安实验室 神器 热点 (第2部分);海伯利昂號 - 實驗室 - 神器點擊區（第2部份）
Hyperion Lab Artifact Hot Spot (Part 3);Артефакт в лаборатории «Гипериона» - активная область (часть 3);Hyperion - Labor, Artefakt - Hotspot (Teil 3);Punto destacado del artefacto del laboratorio del Hyperion (parte 3);Hiperión - Laboratorio - Artefacto - Punto activo (Parte 3);Point sensible Artéfact Labo Hypérion (3e partie);Laboratorio Hyperion - punto chiave artefatto (parte 3);히페리온 연구실 유물 활성화 지점 (3 장);Hyperion – laboratorium – artefakt – hotspot (część 3);Hipérion - Laboratório - Artefato - Ponto de interesse (Parte 3);休伯利安实验室 神器 热点 (第3部分);海伯利昂號 - 實驗室 - 神器點擊區（第3部份）
Hyperion Lab Artifact Hot Spot (Part 4);Артефакт в лаборатории «Гипериона» - активная область (часть 4);Hyperion - Labor, Artefakt - Hotspot (Teil 4);Punto destacado del artefacto del laboratorio del Hyperion (parte 4);Hiperión - Laboratorio - Artefacto - Punto activo (Parte 4);Point sensible Artéfact Labo Hypérion;Laboratorio Hyperion - punto chiave artefatto (parte 4);히페리온 연구실 유물 활성화 지점 (4 장);Hyperion – laboratorium – artefakt – hotspot (część 4);Hipérion - Laboratório - Artefato - Ponto de interesse (Parte 4);休伯利安实验室 神器 热点 (第4部分);海伯利昂號 - 實驗室 - 神器點擊區（第4部份）
Hyperion Lab Stetmann Cameras;Стетманн в лаборатории «Гипериона» - камеры;Hyperion - Labor, Stetmann - Kameras;Cámaras del laboratorio de Stetmann;Hiperión - Laboratorio - Stetmann - Cámaras;Labo de l’Hypérion Stetmann Caméras;Laboratorio Hyperion - cineprese Stetmann;히페리온 연구실 스텟먼 카메라;SM laboratorium – kamery – Stetmann;Hipérion -  Laboratório - Stetmann - Câmeras;休伯利安实验室 斯台特曼 镜头;海伯利昂號 - 實驗室 - 斯特曼鏡頭
Hyperion Lab Hanson Cameras;Хэнсон в лаборатории «Гипериона» - камеры;Hyperion - Labor, Hanson - Kameras;Cámaras del laboratorio de Hanson;Hiperión - Laboratorio - Hanson - Cámaras;Labo de l’Hypérion Hanson Caméras;Laboratorio Hyperion - cineprese Hanson;히페리온 연구실 핸슨 카메라;SM laboratorium – kamery – Hanson;Hipérion - Laboratório - Hanson - Câmeras;休伯利安实验室 汉森 镜头;海伯利昂號 - 實驗室 - 韓森鏡頭
Hyperion Lab Briefing Main;Вступление к заданию - в лаборатории «Гипериона» - главн.;Hyperion - Labor, Besprechung - Haupt;Informe principal del laboratorio del Hyperion;Hiperión - Laboratorio - Instrucciones - Principal;Hypérion Labo Briefing Principal;Laboratorio Hyperion - briefing principale;히페리온 연구실 요약 보고 주;Hyperion – laboratorium – odprawa – główne;Hipérion - Laboratório - Instruções - Principal;休伯利安实验室 信息综述 主;海伯利昂號 - 實驗室 - 簡報 - 主要
Hyperion Lab Briefing Center;Вступление к заданию в лаборатории «Гипериона» - центр;Hyperion - Labor, Besprechung - Mitte;Informe central del laboratorio del Hyperion;Hiperión - Laboratorio - Instrucciones - Centro;Hypérion Labo Briefing Centre;Laboratorio Hyperion - briefing centro;히페리온 연구실 요약 보고 중심;Hyperion – laboratorium medyczne – odprawa – środek;Hipérion - Laboratório - Instruções - Centro;休伯利安实验室 信息综述 中;海伯利昂號 - 實驗室 - 簡報 - 中
Hyperion Lab Briefing Left;Вступление к заданию в лаборатории «Гипериона» - слева;Hyperion - Labor, Besprechung - Links;Informe izquierdo del laboratorio del Hyperion;Hiperión - Laboratorio - Instrucciones - Izquierda;Hypérion Labo Briefing Gauche;Laboratorio Hyperion - briefing sinistra;히페리온 연구실 요약 보고 왼쪽;Hyperion – laboratorium medyczne – odprawa – lewa;Hipérion - Laboratório - Instruções - Esquerda;休伯利安实验室 信息综述 左;海伯利昂號 - 實驗室 - 簡報 - 左
Hyperion Lab Briefing Right;Вступление к заданию в лаборатории «Гипериона» - справа;Hyperion - Labor, Besprechung - Rechts;Informe derecho del laboratorio del Hyperion;Hiperión - Laboratorio - Instrucciones - Derecha;Hypérion Labo Briefing Droite;Laboratorio Hyperion - briefing destra;히페리온 연구실 요약 보고 오른쪽;Hyperion – laboratorium medyczne – odprawa – prawa;Hipérion - Laboratório - Instruções - Direita;休伯利安实验室 信息综述 右;海伯利昂號 - 實驗室 - 簡報 - 右
Hyperion Lab Cryotube A;Лаборатория «Гипериона» - криокамера A;Hyperion - Labor - Cryo-Röhre A;Laboratorio del Hyperion tubo criogénico A;Laboratorio del Hiperión - Criotubo A;Cryotube A du laboratoire de l’Hypérion;Laboratorio Hyperion - criotubo A;히페리온 연구실 냉동관 A;Hyperion – laboratorium – kriotuba A;Criotubo A do Laboratório da Hipérion;休伯利安实验室 低温管 A;海伯利昂號 - 實驗室 - 低溫槽 A
Hyperion Lab Cryotube B;Лаборатория «Гипериона» - криокамера B;Hyperion - Labor - Cryo-Röhre B;Laboratorio del Hyperion tubo criogénico B;Laboratorio del Hiperión - Criotubo B;Cryotube B du laboratoire de l’Hypérion;Laboratorio Hyperion - criotubo B;히페리온 연구실 냉동관 B;Hyperion – laboratorium – kriotuba B;Criotubo B do Laboratório da Hipérion;休伯利安实验室 低温管 B;海伯利昂號 - 實驗室 - 低溫槽 B
Hyperion Lab Props;Лаборатория «Гипериона» - декорации;Hyperion - Labor, Eigenschaften;Accesorios del laboratorio del Hyperion;Hiperión - Laboratorio - Utilería;Hypérion Labo Accessoires;Laboratorio Hyperion - accessori;히페리온 연구실 속성;Hyperion – laboratorium medyczne – rekwizyty;Hipérion - Laboratório - Itens;休伯利安实验室 道具;海伯利昂號 - 實驗室 - 屬性
Hyperion Lab Protoss Cryotube 0 Hot Spot;Лаборатория «Гипериона» - криокамера протоссов 0 - активная область;Hyperion - Labor, Protoss-Cryo-Röhre 0 - Hotspot;Laboratorio del Hyperion tubo criogénico protoss 0 punto destacado;Hiperión - Laboratorio - Criotubo protoss 0 - Punto activo;Point sensible du cryotube protoss du labo de l’Hypérion 0;Laboratorio Hyperion - punto chiave criotubo protoss 0;히페리온 실험실 프로토스 냉동관 0 활성화 지점;Hyperion – laboratorium – kriotuba z protosem 0 hotspot;Hipérion – Laboratório - Protoss – Tubo criogênico – 0 - Ponto de interesse;休伯利安实验室 星灵低温管0 热点;海伯利昂號 - 實驗室 - 神族低溫槽0點選區
Hyperion Lab Protoss Cryotube 1 Hot Spot;Лаборатория «Гипериона» - криокамера протоссов 1 - активная область;Hyperion - Labor - Protoss-Cryo-Röhre 1 - Hotspot;Laboratorio del Hyperion tubo criogénico protoss 1 punto destacado;Hiperión - Laboratorio - Criotubo protoss 1 - Punto activo;PS du cryotube protoss 1 du laboratoire de l’Hypérion;Laboratorio Hyperion - punto chiave criotubo protoss 1;히페리온 연구실 프로토스 냉동관 1 활성화 지점;Hyperion – laboratorium – kriotuba z protosem 1 hotspot;Hipérion - Laboratório - Criotubo protoss 1 - Ponto de interesse;休伯利安实验室 星灵低温管1 热点;海伯利昂號 - 實驗室 - 神族低溫槽1點選區
Hyperion Lab Protoss Cryotube 2 Hot Spot;Лаборатория «Гипериона» - криокамера протоссов 2 - активная область;Hyperion - Labor - Protoss-Cryo-Röhre 2 - Hotspot;Laboratorio del Hyperion tubo criogénico protoss 2 punto destacado;Hiperión - Laboratorio - Criotubo protoss 2 - Punto activo;PS du cryotube protoss 2 du laboratoire de l’Hypérion;Laboratorio Hyperion - punto chiave criotubo protoss 2;히페리온 연구실 프로토스 냉동관 2 활성화 지점;Hyperion – laboratorium – kriotuba z protosem 2 hotspot;Hipérion - Laboratório - Criotubo protoss 2 - Ponto de interesse;休伯利安实验室 星灵低温管2 热点;海伯利昂號 - 實驗室 - 神族低溫槽2點選區
Hyperion Lab Protoss Cryotube 3 Hot Spot;Лаборатория «Гипериона» - криокамера протоссов 3 - активная область;Hyperion - Labor - Protoss-Cryo-Röhre 3 - Hotspot;Laboratorio del Hyperion tubo criogénico protoss 3 punto destacado;Hiperión - Laboratorio - Criotubo protoss 3 - Punto activo;PS du cryotube protoss 3 du laboratoire de l’Hypérion;Laboratorio Hyperion - punto chiave criotubo protoss 3;히페리온 연구실 프로토스 냉동관 3 활성화 지점;Hyperion – laboratorium – kriotuba z protosem 3 hotspot;Hipérion - Laboratório - Criotubo protoss 3 - Ponto de interesse;休伯利安实验室 星灵低温管3 热点;海伯利昂號 - 實驗室 - 神族低溫槽3點選區
Hyperion Lab Protoss Cryotube 4 Hot Spot;Лаборатория «Гипериона» - криокамера протоссов 4 - активная область;Hyperion - Labor, Protoss-Cryo-Röhre 4 - Hotspot;Laboratorio del Hyperion tubo criogénico protoss 4 punto destacado;Hiperión - Laboratorio - Criotubo protoss 4 - Punto activo;Point sensible du cryotube protoss du labo de l’Hypérion 4;Laboratorio Hyperion - punto chiave criotubo protoss 4;히페리온 실험실 프로토스 냉동관 4 활성화 지점;Hyperion – laboratorium – kriotuba z protosem 4 hotspot;Hipérion – Laboratório - Protoss – Tubo criogênico – 4 - Ponto de interesse;休伯利安实验室 星灵低温管4 热点;海伯利昂號 - 實驗室 - 神族低溫槽4點選區
Hyperion Lab Protoss Cryotube 5 Hot Spot;Лаборатория «Гипериона» - криокамера протоссов 5 - активная область;Hyperion - Labor, Protoss-Cryo-Röhre 5 - Hotspot;Laboratorio del Hyperion tubo criogénico protoss 5 punto destacado;Hiperión - Laboratorio - Criotubo protoss 5 - Punto activo;Point sensible du cryotube protoss du labo de l’Hypérion 5;Laboratorio Hyperion - punto chiave criotubo protoss 5;히페리온 연구실 프로토스 냉동관 5 활성화 지점;Hyperion – laboratorium – kriotuba z protosem 5 hotspot;Hipérion – Laboratório - Protoss – Tubo criogênico – 5 - Ponto de interesse;休伯利安实验室 星灵低温管5 热点;海伯利昂號 - 實驗室 - 神族低溫槽5點選區
zz REMOVING Hyperion Lab Artifact HS;zz REMOVING Hyperion Lab Artifact HS;zz REMOVING Hyperion Lab Artifact HS;zz REMOVING Hyperion Lab Artifact HS;zz REMOVING Hiperión - Laboratorio - Artefacto PA;zz REMOVING Hypérion Labo Artéfact PS;zz REMOVING Laboratorio Hyperion - punto chiave artefatto;zz 제거 히페리온 연구실 유물 활성화 지점;zz USUWANIE Hyperion – laboratorium – artefakt HS (etap 1);zz REMOVENDO - Hipérion - Laboratório - Artefato - PI;zz REMOVING Hyperion Lab Artifact HS;zz REMOVING 海伯利昂號 - 實驗室 - 神器點選區
Hyperion Lab Console Hot Spot;Консоль в лаборатории «Гипериона» - активная область;Hyperion - Labor, Konsole - Hotspot;Punto destacado de la consola del laboratorio del Hyperion;Hiperión - Laboratorio - Consola - Punto activo;Point sensible Console Labo Hypérion;Laboratorio Hyperion - punto chiave console;히페리온 연구실 콘솔 활성화 지점;Hyperion – konsola laboratoryjna – hotspot;Hiperion - Ponto de interesse - Console do Laboratório;休伯利安实验室 控制台 热点;海伯利昂號 - 實驗室 - 操控台點選區
Hyperion Lab Crystal Hot Spot;Кристалл в лаборатории «Гипериона» - активная область;Hyperion - Labor, Krystal - Hotspot;Punto destacado del cristal del laboratorio del Hyperion;Hiperión - Laboratorio - Cristal - Punto activo;Point sensible Cristal du Labo de l’Hypérion;Laboratorio Hyperion - punto chiave cristallo;히페리온 연구실 수정 활성화 지점;Hyperion – laboratorium – kryształ – hotspot (etap 1);Hipérion - Laboratório - Cristal - Ponto de interesse;休伯利安实验室 水晶 热点;海伯利昂號 - 實驗室 - 水晶點選區
Hyperion Lab Door Hot Spot;Дверь в лабораторию «Гипериона» - активная область;Hyperion - Labor, Tür - Hotspot;Punto destacado de la puerta del laboratorio del Hyperion;Hiperión - Laboratorio - Puerta - Punto activo;Point sensible Porte du Labo de l’Hypérion;Laboratorio Hyperion - punto chiave porta;히페리온 연구실 입구 활성화 지점;Hyperion – laboratorium – drzwi – hotspot (etap 1);Hipérion - Laboratório - Porta - Ponto de interesse;休伯利安实验室 门 热点;海伯利昂號 - 實驗室 - 大門點選區
Hyperion Lab Set;Лаборатория «Гипериона» - сцена;Hyperion - Labor, Set;Escenario del laboratorio del Hyperion;Hiperión - Laboratorio - Escenario;Décor Labo de l’Hypérion;Laboratorio Hyperion - set;히페리온 연구실 모음;Hyperion – laboratorium – plan;Definir Laboratório da Hipérion;休伯利安实验 设置;海伯利昂號 - 實驗室設定
Hyperion Lab Set 2;Лаборатория «Гипериона» - сцена 2;Hyperion - Labor, Set 2;Escenario 2 del laboratorio del Hyperion;Hiperión - Laboratorio - Escenario 2;Décor Labo de l’Hypérion 2;Laboratorio Hyperion - set 2;히페리온 연구실 모음 2;Laboratorium na Hyperionie – plan 2;Hipérion - Laboratório - Definir - Nível 2;休伯利安实验室  设置2;海伯利昂號 - 實驗室設定2
Hyperion Lab Set Lights;Лаборатория «Гипериона» - освещение сцены;Hyperion - Labor, Set - Lichter;Luces del laboratorio del Hyperion;Hiperión - Laboratorio - Escenario - Luces;Décor lumières Labo de l’Hypérion;Laboratorio Hyperion - luci set;히페리온 연구실 모음 조명;Hyperion – laboratorium – ustaw światła;Hipérion - Laboratório - Definir - Luzes;休伯利安实验室 设置 灯光;海伯利昂號 - 實驗室設定 - 燈光
Hyperion Lab Zerg Cryotube 0 Hot Spot;Лаборатория «Гипериона» - криокамера зергов 0 - активная область;Hyperion - Labor, Zerg-Cryo-Röhre 0 - Hotspot;Laboratorio del Hyperion tubo criogénico zerg 0 punto destacado;Hiperión - Laboratorio - Criotubo zerg 0 - Punto activo;Point sensible du cryotube zerg du labo de l’Hypérion 0;Laboratorio Hyperion - punto chiave criotubo zerg 0;히페리온 실험실 저그 냉동관 0 활성화 지점;Hyperion – laboratorium – kriotuba z zergiem 0 hotspot;Hipérion – Laboratório - Zerg – Tubo criogênico – 0 - Ponto de interesse;休伯利安实验室 异虫低温管0 热点;海伯利昂號 - 實驗室 - 蟲族低溫槽0點選區
Hyperion Lab Zerg Cryotube 1 Hot Spot;Лаборатория «Гипериона» - криокамера зергов 1 - активная область;Hyperion - Labor - Zerg-Cryo-Röhre 1 - Hotspot;Laboratorio del Hyperion tubo criogénico zerg 1 punto destacado;Hiperión - Laboratorio médico - Criotubo zerg 1 - Punto activo;PS du cryotube zerg 1 du laboratoire de l’Hypérion;Laboratorio Hyperion - punto chiave criotubo zerg 1;히페리온 연구실 저그 냉동관 1 활성화 지점;SM – Hyperion – laboratorium medyczne – kriotuba 1 hotspot;Hipérion - Laboratório - Criotubo zerg 1 - Ponto de interesse;休伯利安实验室 异虫低温管1 热点;海伯利昂號 - 實驗室 - 蟲族低溫槽1點選區
Hyperion Lab Zerg Cryotube 2 Hot Spot;Лаборатория «Гипериона» - криокамера зергов 2 - активная область;Hyperion - Labor - Zerg-Cryo-Röhre 2 - Hotspot;Laboratorio del Hyperion tubo criogénico zerg 2 punto destacado;Hiperión - Laboratorio - Criotubo zerg 2 - Punto activo;PS du cryotube zerg 2 du laboratoire de l’Hypérion;Laboratorio Hyperion - punto chiave criotubo zerg 2;히페리온 연구실 저그 냉동관 2 활성화 지점;SM – Hyperion – laboratorium medyczne – kriotuba 2 hotspot;Hipérion - Laboratório - Criotubo zerg 2 - Ponto de interesse;休伯利安实验室 异虫低温管2 热点;海伯利昂號 - 實驗室 - 蟲族低溫槽2點選區
Hyperion Lab Zerg Cryotube 3 Hot Spot;Лаборатория «Гипериона» - криокамера зергов 3 - активная область;Hyperion - Labor - Zerg-Cryo-Röhre 3 - Hotspot;Laboratorio del Hyperion tubo criogénico zerg 3 punto destacado;Hiperión - Laboratorio - Criotubo zerg 3 - Punto activo;PS du cryotube zerg 3 du laboratoire de l’Hypérion;Laboratorio Hyperion - punto chiave criotubo zerg 3;히페리온 연구실 저그 냉동관 3 활성화 지점;Hyperion – laboratorium – kriotuba z zergiem 3 hotspot;Hipérion - Laboratório - Criotubo zerg 3 - PPonto de interesse;休伯利安实验室 异虫低温管3热点;海伯利昂號 - 實驗室 - 蟲族低溫槽3點選區
Hyperion Lab Zerg Cryotube 4 Hot Spot;Лаборатория «Гипериона» - криокамера зергов 4 - активная область;Hyperion - Labor, Zerg-Cryo-Röhre 4 - Hotspot;Laboratorio del Hyperion tubo criogénico zerg 4 punto destacado;Hiperión - Laboratorio - Criotubo zerg 4 - Punto activo;Point sensible du cryotube zerg du labo de l’Hypérion 4;Laboratorio Hyperion - punto chiave criotubo zerg 4;히페리온 연구실 저그 냉동관 4 활성화 지점;Hyperion – laboratorium – kriotuba z zergiem 4 hotspot;Hipérion - Laboratório - Criotubo zerg 2 - Ponto de interesse;休伯利安实验室 异虫低温管4 热点;海伯利昂號 - 實驗室 - 蟲族低溫槽4點選區
Hyperion Lab Zerg Cryotube 5 Hot Spot;Лаборатория «Гипериона» - криокамера зергов 5 - активная область;Hyperion - Labor, Zerg-Cryo-Röhre 5 - Hotspot;Laboratorio del Hyperion tubo criogénico zerg 5 punto destacado;Hiperión - Laboratorio - Criotubo zerg 5 - Punto activo;Point sensible du cryotube zerg du labo de l’Hypérion 5;Laboratorio Hyperion - punto chiave criotubo zerg 5;히페리온 실험실 저그 냉동관 5 활성화 지점;Hyperion – laboratorium – kriotuba z zergiem 5 hotspot;Hipérion – Laboratório - Zerg – Tubo criogênico – 5 - Ponto de interesse;休伯利安实验室 异虫低温管5 热点;海伯利昂號 - 實驗室 - 蟲族低溫槽5點選區
TV - Kate Lockwell;ТВ - Кейт Локвелл;TV - Kate Lockwell;TV - Kate Lockwell;Televisor - Kate Lockwell;TV - Kate Lockwell;TV - Kate Lockwell;TV - 케이트 록웰;TV – Kate Lockwell;TV - Kate Lockwell;TV — 凯特·洛克维尔;電視 - 凱特‧羅克韋爾
SM Kerrigan Photo;РК - Чар - ролик на движке 04;SM - Kerrigans Foto;MH Foto de Kerrigan;MH Kerrigan - Foto;MS photo de Kerrigan;MS Foto Kerrigan;SM 케리건 사진;SM – zdjęcie Kerrigan;ME - Kerrigan - Foto;SM 凯瑞甘照片;SM - 凱莉根照片
(OLD) Lab Assistant;(УСТАР) Лаборант;(ALT) Laborassistent;(OLD) Ayudante del laboratorio;(ANTIGUO) Asistente de laboratorio;(OLD) Assistant de laboratoire;(OLD) aiutante laboratorio;(이전) 연구소 보조;(STARE) Laborant;(ANTIGO) Assistente de laboratório;(OLD) 实验室助理;（舊）實驗室助理
Bunnie Lebowski;Банни Лебовски;Bunnie Lebowski;Bunnie Lebowski;Bunnie Lebowski;Bunnie Lebowski;Bunnie Lebowski;버니 레보스키;Bunnie Lebowski;Bunnie Lebowski;邦妮·勒波斯基;邦尼‧里邦斯基
TV - Lee Keno;ТВ - Ли Кено;TV - Lee Keno;TV - Lee Keno;Televisor - Lee Keno;TV - Lee Kénau;TV - Lee Keno;TV - 리 케노;TV – Lee Keno;TV - Lee Keno;TV — 里·基诺;電視 - 李伊‧奇諾
TV - Lee Keno Set;ТВ - Ли Кено - сцена;TV - Lee Keno, Set;TV - Escenario de Lee Keno;Televisor - Lee Keno - Escenario;TV - Plateau Lee Kénau;TV - set Lee Keno;TV - 리 케노 모음;TV – Lee Keno – plan;TV - Lee Keno - Definir;TV — 里·基诺布景;電視 - 李伊‧奇諾設定
Mar Sara Bar Badge Hot Spot;Бар Мар-Сары - жетон - активная область;Mar Sara - Bar, Marke - Hotspot;Punto destacado de la placa del bar de Mar Sara;Mar Sara - Bar - Placa - Punto activo;Point sensible Badge du Bar de Mar Sara;Bar Mar Sara - punto chiave distintivo;마 사라 주점 배지 활성화 지점;Bar na Mar Sarze – odznaka – hotspot;Mar Sara - Ponto de interesse - TV do Bar;玛·萨拉酒吧 勋章 热点;瑪而‧薩拉酒吧 - 警徽點擊區
Mar Sara Bar Bottles Hot Spot;Бар Мар-Сары - бутылки - активная область;Mar Sara - Bar, Flaschen - Hotspot;Punto destacado de las botellas del bar de Mar Sara;Mar Sara - Bar - Botellas - Punto activo;Point sensible Bouteilles Bar de Mar Sara;Bar Mar Sara - punto chiave bottiglie;마 사라 주점 병 활성화 지점;Bar na Mar Sarze – butelki – hotspot;Mar Sara - Bar - Garrafas - Ponto de interesse;玛·萨拉酒吧 酒瓶 热点;瑪而‧薩拉酒吧 - 酒瓶點選區
Mar Sara Bar Briefing Main;Бар Мар-Сары - вступление к заданию - главный;Mar Sara - Bar, Besprechung - Haupt;Informe principal del bar de Mar Sara;Mar Sara - Bar - Instrucciones - Principal;Bar de Mar Sara Briefing Principal;Bar Mar Sara - briefing principale;마 사라 주점 요약 보고 주;Bar na Mar Sarze – odprawa – główne;Mar Sara - Bar - Instruções - Principal;玛·萨拉酒吧 简讯 主要;瑪而‧薩拉酒吧 - 簡報 - 主要
Mar Sara Bar Briefing Center;Бар Мар-Сары - вступление к заданию - центр;Mar Sara - Bar, Besprechung - Mitte;Informe central del bar de Mar Sara;Mar Sara - Bar - Instrucciones - Centro;Bar de Mar Sara Briefing Central;Bar Mar Sara - briefing centro;마 사라 주점 요약 보고 중앙;Bar na Mar Sarze – odprawa – środek;Mar Sara - Bar - Instruções - Centro;玛·萨拉酒吧 简讯 中心;瑪而‧薩拉酒吧 - 簡報 - 中
Mar Sara Bar Briefing Left;Бар Мар-Сары - вступление к заданию - слева;Mar Sara - Bar, Besprechung - Links;Informe izquierdo del bar de Mar Sara;Mar Sara - Bar - Instrucciones - Izquierda;Bar de Mar Sara Briefing Gauche;Bar Mar Sara - briefing sinistra;마 사라 주점 요약 보고 왼쪽;Bar na Mar Sarze – odprawa – lewa;Mar Sara - Bar - Instruções - Esquerda;玛·萨拉酒吧 简讯 左;瑪而‧薩拉酒吧 - 簡報 - 左
Mar Sara Bar Briefing Right;Бар Мар-Сары - вступление к заданию - справа;Mar Sara - Bar, Besprechung - Rechts;Informe derecho del bar de Mar Sara;Mar Sara - Bar - Instrucciones - Derecha;Bar de Mar Sara Briefing Droit;Bar Mar Sara - briefing destra;마 사라 주점 요약 보고 오른쪽;Bar na Mar Sarze – odprawa – prawa;Mar Sara - Bar - Instruções - Direita;玛·萨拉酒吧 简讯 右;瑪而‧薩拉酒吧 - 簡報 - 右
Mar Sara Bar Briefing TV (Main) - TRaynor01;Бар Мар-Сары - вступление к заданию - TV (главный) - TRaynor01;Mar Sara - Bar, Besprechung - TV (Haupt) - TRaynor01;Informe de TV del bar de Mar Sara (principal) - TRaynor01;Mar Sara - Bar - Instrucciones - Televisor (Principal) - TRaynor01;Bar Mar Sara Briefing TV (Principal) - TRaynor01;Bar Mar Sara - briefing TV (principale) - TRaynor01;마 사라 주점 요약 보고 TV (주) - 테란 레이너 01;Bar na Mar Sarze – odprawa – TV (główne) – Traynor 01;Mar Sara - Bar - Instruções - TV (principal) - TRaynor01;玛·萨拉酒吧 简讯 TV  (主要) - TRaynor01;瑪而‧薩拉酒吧 - 簡報 - 電視（主要） - 雷諾01
Mar Sara Bar Briefing TV (Main) - TRaynor02;Бар Мар-Сары - вступление к заданию - TV (главный) - TRaynor02;Mar Sara - Bar, Besprechung - TV (Haupt) - TRaynor02;Informe de TV del bar de Mar Sara (principal) - TRaynor02;Mar Sara - Bar - Instrucciones - Televisor (Principal) - TRaynor02;Briefing TV du bar de Mar Sara (Principal) - TRaynor02;Bar Mar Sara - briefing TV (principale) - TRaynor02;마 사라 주점 요약 보고 TV (주) - 테란 레이너 02;Bar na Mar Sarze – odprawa – TV (główne) – Traynor 02;Mar Sara - Bar - Instruções - TV (principal) - TRaynor02;玛·萨拉酒吧 简讯 TV  (主要) - TRaynor02;瑪而‧薩拉酒吧 - 簡報 - 電視（主要） - 雷諾02
Mar Sara Bar Briefing TV (Main) - TRaynor03;Бар Мар-Сары - вступление к заданию - TV (главный) - TRaynor03;Mar Sara - Bar, Besprechung - TV (Haupt) - TRaynor03;Informe de TV del bar de Mar Sara (principal) - TRaynor03;Mar Sara - Bar - Instrucciones - Televisor (Principal) - TRaynor03;Bar Mar Sara Briefing TV (Principal) - TRaynor03;Bar Mar Sara - briefing TV (principale) - TRaynor03;마 사라 주점 요약 보고 TV (주) - 테란 레이너 03;Bar na Mar Sarze – odprawa – TV (główne) – Traynor 03;Mar Sara - Bar - Instruções - TV (principal) - TRaynor03;玛·萨拉酒吧 简讯 TV  (主要) - TRaynor03;瑪而‧薩拉酒吧 - 簡報 - 電視（主要） - 雷諾03
Mar Sara Bar Briefing TV (Portrait 1);Бар Мар-Сары - вступление к заданию - TV (портрет 1);Mar Sara - Bar, Besprechung - TV (Porträt 1);Informe de TV del bar de Mar Sara (retrato 1);Mar Sara - Bar - Instrucciones - Televisor (Retrato 1);Bar de Mar Sara Briefing TV (Portrait 1);Bar Mar Sara - briefing TV (Ritratto 1);마 사라 주점 요약 보고 TV (초상화 1);Bar na Mar Sarze – odprawa – TV (portret 1);Mar Sara - Bar - Instruções - TV (retrato 1);玛·萨拉酒吧 简讯 TV (头像 1);瑪而‧薩拉酒吧 - 簡報 - 電視（頭像1）
Mar Sara Bar Briefing TV (Portrait 2);Бар Мар-Сары - вступление к заданию - TV (портрет 2);Mar Sara - Bar, Besprechung - TV (Porträt 2);Informe de TV del bar de Mar Sara (retrato 2);Mar Sara - Bar - Instrucciones - Televisor (Retrato 2);TV Briefing, bar de Mar Sara (Portrait 2);Bar Mar Sara - briefing TV (Ritratto 2);마 사라 주점 요약 보고 TV (초상화 2);Bar na Mar Sarze – odprawa – TV (portret 2);Mar Sara - Bar - Instruções - TV (retrato 2);玛·萨拉酒吧 简讯 TV (头像 2);瑪而‧薩拉酒吧 - 簡報 - 電視（頭像2）
