Arclite Shock Cannon;Осадная пушка «Радуга»;Arclite-Schockkanone;Cañón de impacto arcolux;Cañón de impacto Arclite;Canon choc Arclite;Cannone d'assedio Arclite;아크라이트 충격포;Działo burzące Arclite;Canhão de choque Arcolite;弧光震击炮;弧光衝擊加農砲
Hellfire Shotgun;Адский дробовик;Infernoschrotflinte;Escopeta averno;Escopeta Inferno;Fusil Feu d’enfer;Fucile Hellfire;지옥불 산탄총;Strzelba Hellfire;Escopeta Fogo do Inferno;地狱火霰弹枪;獄焰霰彈槍
Invictus Longshot;Непокорный стрелок;Invictus-Präzisionswaffe;Fusil Invictus;Mira láser Invictus;Fusil Invictus;Fucile di precisione Invictus;인빅투스 저격 소총;Karabin wyborowy Invictus;Tiro Longo de Invictus;常胜狙击枪;常勝狙擊槍
Monomolecular Blade;Мономолекулярный меч;Monomolekulare Klinge;Hoja monomolecular;Cuchilla monomolecular;Lame monomoléculaire;Lama monomolecolare;단분자 검;Ostrze Monomolekularne;Lâmina Monomolecular;单分子光刀;分子光刀
Graviton Rifle;Гравитонная винтовка;Gravitongewehr;Fusil gravitón;Rifle de gravitones;Fusil à gravitons;Fucile gravitonico;중력자 소총;Karabin grawitonowy;Rifle de Gráviton;引力子步枪;引力步槍
Phoenix Purifier Weapon;Оружие «Феникса» (чистильщик);Phönix - Richter, Waffe;Arma de fénix purificador;Fénix - Purificador - Arma;Phénix - Purificateur - Arme;Fenice - Arma Purificatrice;불사조 정화자 무기;Feniks, czyściciel, Broń;Fênix - Purificador - Arma;Phoenix Purifier Weapon;鳳凰戰機淨化者武器
Phoenix Scout Missiles;Оружие «Феникса» (разведчик);Phönix - Scout, Geschosse;Misiles de explorador de fénix;Fénix - Misiles exploradores;Phénix - Éclaireur - Missiles;Fenice - Missili Esploratori;불사조 정찰기 미사일;Feniks, Zwiadowca, Pociski;Fênix - Mísseis de Batedor;凤凰侦察飞弹;鳳凰戰機斥候飛彈
Photon Cannon Long Range;Фотонная пушка - дальний бой;Photonenkanone - große Reichweite;Cañón de fotones de largo alcance;Cañón de fotones - Largo alcance;Canon à photons longue portée;Cannone fotonico - Lunga portata;광자포 장거리;Działo fotonowe, Daleki zasięg;Canhão de Fótons - Longo Alcance;光子炮台长程;光子加農砲 - 長程
Master Warp Blade;Мастерский клинок искривления;Meister-Warpklinge;Cuchilla de distorsión maestra;Cuchilla de transposición maestra;Trans-lames d’expert;Lama dimensionale del Maestro;강화 변형 차원검;Mistrzowskie ostrze nadprzestrzenne;Lâmina de Transdobra Mestre;大师曲光战刃;高階空間之刃
Purifier Rail Gun;Электромагнитная пушка чистильщиков;Richter-Magnetkanone;Arma de raíles de purificador;Purificador - Cañón de riel;Canon électrique du Purificateur;Cannone elettrico dei Purificatori;정화자 레일건;Czyściciel, Działo kinetyczne;Purificador - Arma Automática;净化者电磁炮;淨化者電磁軌槍
Replicant Weapon;Оружие репликанта;Replikant - Waffe;Arma de replicante;Replicador - Arma;Arme de répliquant;Replicante - Arma;복제자 무기;Replikant, Broń;Arma de Replicante;克隆机武器;複製體武器
Electrostatic Charge;Электростатический заряд;Elektrostatische Aufladung;Carga electrostática;Carga electroestática;Charge électrostatique;Carica elettrostatica;정전기 충전;Ładunek elektrostatyczny;Carga Eletrostática;电子充能;電荷突擊
Incendiary Laser;Разрушительный лазер;Thermolaser;Láser incendiario;Láser incendiario;Laser incendiaire;Laser incendiario;화염 레이저;Laser zapalający;Laser Incendiário;焚化激光;烈焰雷射
Terminator Beam;Истребляющий луч;Eliminierungsstrahl;Haz exterminador;Rayo exterminador;Rayon terminal;Raggio eliminatore;종결자 광선;Wiązka wyniszczająca;Feixe Exterminador;终结光束;終結光束
SOAPurifier Beam Weapon;КА - луч воздаяния - оружие;SdA - Destruktorstrahl, Waffe;Arma de haz purificador (Lanza de Adun);LDA - Rayo purificador - Arma;LdA - Rayon purificateur - Arme;LdA - Raggio purificatore - Arma;SOA 정화 광선 무기;WAWiązka oczyszczenia, Ostrzał;SOA - Feixe Purificador - Arma;SOAPurifier Beam Weapon;亞頓之矛 - 淨化光束武器
SOA Purifier Mothership Weapon;КА - оружие материнского корабля «Воздаятель»;SdA - Richter-Mutterschiff, Waffe;Arma de nave nodriza Purificador (Lanza de Adun);LDA - Purificador - Nave nodriza - Arma;LdA - Purificateur - Vaisseau mère - Arme;LdA - Nave madre Purificatrice - Arma;SOA 정화 모선 무기;WA Czyściciel Statek-matka, Broń;SOA - Nave-mãe Purificadora - Arma;SOA Purifier Mothership Weapon;亞頓之矛 - 淨化者聖母艦武器
SOA Pylon Weapon;КА - пилон - оружие;SdA - Pylon, Waffe;Arma de pilón (Lanza de Adun);LDA - Pilón - Arma;LdA - Pylône - Arme;LdA - Pilone - Arma;SOA 수정탑 무기;WA Pylon Broń;SOA - Armamento do Pilar Energético;SOA Pylon Weapon;亞頓之矛 - 水晶塔武器
SOASuper Time Warp Missile Defense;КА - суперискривление времени - защита от ракет;SdA - Superzeitkrümmung, Geschoss - Verteidigung;Misil de defensa de gran distorsión temporal (Lanza de Adun);LDA - Superdistorsión de tiempo - Misil - Defensa;LdA - Super distorsion temporelle - Missile - Défense;LdA - Super Distorsione temporale - Difesa Missile;SOA 거대 시간 왜곡 미사일 방어;WASuper Zakrzywienie czasoprzestrzeni Pocisk Obrona;SOA - Supertransdobra Temporal - Míssil - Defesa;SOASuper Time Warp Missile Defense;亞頓之矛 - 超級時空扭曲 - 飛彈防禦
Palytoxic Spine;Палитоксичные шипы;Palytoxischer Stachel;Espina palitóxica;Espina palitóxica;Aiguillon palytoxique;Aculei tossici;팔리독 가시뼈;Palitoksynowe kolce;Espinhaço Palitóxico;毒素脊刺;麻痺毒脊
Psi Blades;Пси-клинки;Psi-Klingen;Cuchillas psi;Cuchillas psiónicas;Lames psi;Lame Psioniche;사이오닉 검;Ostrza psioniczne;Lâminas Psi;灵能利刃;幽能之刃
Sentinel Weapon;Оружие дозорного;Vollstrecker - Waffe;Arma de vigilante;Arma de Vigía;Veilleur - Arme;Incursore - Arma;파수병 무기;Strażnik, Broń;Arma de Atalaia;警戒者武器;哨兵武器
Servitor Blast;Атака дрона;Servitorenangriff;Explosión de servitor;Explosión de servidor;Déflagration de serviteur;Servo-assaltatori;수행로봇 폭발;Promień serwitora;Impacto do Servidor;仆从机轰炸;機械侍從轟擊
Servitor Strike A;Дрон - удар А;Servitorenangriff A;Golpe de servitor A;Ataque de servidor A;Frappe de serviteur A;Servo-assaltatore A;수행로봇 강타 A;Serwitor, Uderzenie A;Servitor Strike A;Servitor Strike A;機械侍從攻擊A
Servitor Strike B;Дрон - удар В;Servitorenangriff B;Golpe de servitor B;Ataque de servidor B;Frappe de serviteur B;Servo-assaltatore B;수행로봇 강타 B;Serwitor, Uderzenie B;Servitor Strike B;Servitor Strike B;機械侍從攻擊B
Void Talons;Когти Пустоты;Leerenkrallen;Garras de vacío;Garras del Vacío;Serres du Vide;Artigli del Vuoto;공허 발톱;Szpony otchłani;Garras do Vazio;虚空之爪;虛空利爪
Shadow Archon;Теневой архонт;Schattenarchon;Arconte sombrío;Arconte sombrío;Archonte d’ombre;Arconte dell'ombra;그림자 집정관;Archont cienia;Arconte Sombrio;暗影执政官;暗影執政官
Solarite Reaper;Соларитовый жнец;Solariträcher;Segador de solarita;Solario - Yum-Kimil;Faucheur en solarite;Mietitore di solarite;태양석 사신검;Żniwiarz solarytowy;Exterminador de Solarita;太阳能战斧;日能光戟
Stalker Beam;Луч сталкера;Hetzer - Strahl;Haz de acechador;Rayo del Persecutor;Traqueur - Rayon;Raggio Persecutore;추적자 광선;Wiązka tropiciela;Feixe de Tormento;追猎光束;追獵者光束
Storm Beast;Штормовой зверь;Sturmbestie;Bestia de tormenta;Bestia tormentosa;Bête tempétueuse;Bestia Elettrica;폭풍 야수;Burzobestia;Fera da Tempestade;风暴战兽;風暴獸
Storm Beast Air;Штормовой зверь - воздух;Sturmbestie - Luft;Bestia de tormenta aérea;Bestia tormentosa - Aire;Bête tempétueuse - Air;Bestia Elettrica - Aria;폭풍 야수 공중;Burzobestia, Powietrze;Fera da Tempestade - Ar;Storm Beast Air;風暴獸 - 對空
Strangler Beast Weapon;Оружие удушающего зверя;Würgebestie - Waffe;Arma de bestia estranguladora;Bestia estranguladora - Arma;Étrangleur - Arme;Bestia Strangolante - Arma;옥죄는 야수 무기;Bestia dusiciel, Broń;Fera Estranguladora - Arma;窒息兽武器;絞殺者野獸 - 武器
Strangler Tentacle;Удушающее щупальце;Würgebestie - Tentakel;Tentáculo estrangulador;Tentáculo estrangulador;Tentacule étrangleur;Tentacolo Strangolante;옥죄는 촉수;Macka dusiciel;Tentáculo Estrangulador;窒息兽触手;絞殺者觸手
Kinetic Overload;Кинетическое перенапряжение;Kinetische Überladung;Sobrecarga cinética;Sobrecarga cinética;Surcharge cinétique;Sovraccarico cinetico;에너지 과부하;Przeładowanie kinetyczne;Sobrecarga Cinética;动能过载;動能超載砲
Resonance Coil;Резонансная петля;Resonanzspule;Bobina de resonancia;Bobina de resonancia;Bobine de résonance;Spira risonante;공진 코일;Cewka rezonansowa;Espiral de Ressonância;谐振盘;共振旋砲
Void Gatling Cannon;Void - шестиствольный пулемет;Void, Gatling-Kanone;Cañón gatling de vacío;Vacío - Cañón Gatling;Void - Canon Gatling;Void - Cannone Gatling;공허 개틀링 포;Void, Działko Gatlinga;Canhão de Repetição do Vazio;虚空格林机关炮;虛空格林式加農砲
Void Zealot Whirlwind Fake Weapon;Void - зилот - вихрь - ложное оружие;Void - Berserker, Wirbelwind - Waffenattrappe;Arma falsa del torbellino de fanático de vacío;Vacío - Zelot - Torbellino - Falso - Arma;Void - Zélote - Tourbillon - Fausse arme;Void - Zelota - Turbine - Arma simulata;공허 광전사 소용돌이 가짜 무기;Void, Zelota, Tornado, Nieprawdziwa broń;Fanáticus do Vazio - Redemoinho - Arma Falsa;Void Zealot Whirlwind Fake Weapon;虛空 - 狂戰士 - 旋風斬 - 假武器
Cybernetic Tentacles;Кибернетические щупальца;Kybernetische Tentakel;Tentáculos cibernéticos;Tentáculos cibernéticos;Tentacules cybernétiques;Tentacoli Cibernetici;인공제어 촉수;Cybernetyczne macki;Tentáculos Cibernéticos;机械义肢;機械觸手
Concussive Beam;Ударный луч;Erschütterungsstrahl;Haz conmocionante;Rayo concusionario;Rayon incapacitant;Raggio a concussione;충격 광선;Promień ogłuszający;Feixe Concussivo;震荡光束;震盪光束
Optic Blast;Слепящий взрыв;Optischer Schlag;Explosión óptica;Explosión óptica;Explosion optique;Scarica ottica;안광 폭발;Wybuch optyczny;Impacto Ótico;眼棱冲击;光學轟擊
Xel Naga Construct Whirlwind;Страж зел-нага - вихрь;Xel'Naga-Konstrukt - Wirbelwind;Remolino de construcción Xel'Naga;Xel'Naga - Constructo - Torbellino;Assemblage Xel’Naga - Tourbillon;Xel'naga - Costrutto - Turbine;젤나가 피조물 소용돌이;Xel'naga Twór Tornado;Xel Naga Construto - Redemoinho;萨尔纳加构造体旋风斩;薩爾納加石像 - 旋風斬
