Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
Abil/Name/MutaliskMorphToViper;Mutalisk Morph To Snake Caster;Mutalisk Morph To Snake Caster;Mutalisk Morph To Snake Caster;El mutalisco muta en víbora;Transformar Mutalisco en Lanzaserpientes;Mutalisk Morph To Snake Caster;Mutalisk Morph To Snake Caster;뮤탈리스크를 뱀 마법사로 변태;Mutalisk Morph To Snake Caster;Mutalisca Transmutar em Evocador de Serpentes;将异龙变异为毒蛇施法者;飛螳突變為螳蛇
Abil/Name/MutatorAmonArtanisAstralWind;Mutator Amon Artanis Astral Wind;Mutator Amon Artanis Astral Wind;Mutator Amon Artanis Astral Wind;Mutator Amon Artanis Astral Wind;Mutador - Amón - Artanis -Viento astral;Mutator Amon Artanis Astral Wind;Mutator Amon Artanis Astral Wind;돌연변이원 아몬 아르타니스 별의 바람;Mutator Amon Artanis Astral Wind;Mutador Vento Astral de Artanis Amon;突变因子 埃蒙 阿塔尼斯 星界之风;Mutator Amon Artanis Astral Wind
Abil/Name/MutatorAmonArtanisLightningDash;Mutator Amon Artanis Lightning Dash;Mutator Amon Artanis Lightning Dash;Mutator Amon Artanis Lightning Dash;Mutator Amon Artanis Lightning Dash;Mutador - Amón - Artanis -Embestida relámpago;Mutator Amon Artanis Lightning Dash;Mutator Amon Artanis Lightning Dash;돌연변이원 아몬 아르타니스 번개 돌진;Mutator Amon Artanis Lightning Dash;Mutador Investida-relâmpago de Artanis Amon;突变因子 埃蒙 阿塔尼斯 闪电冲锋;Mutator Amon Artanis Lightning Dash
Abil/Name/MutatorAmonDehakaDrag;Mutator Amon Dehaka Drag;Mutator Amon Dehaka Drag;Mutator Amon Dehaka Drag;Mutator Amon Dehaka Drag;;Mutator Amon Dehaka Drag;Mutator Amon Dehaka Drag;;Mutator Amon Dehaka Drag;;;
Abil/Name/MutatorAmonDehakaHeal;Mutator Amon Dehaka Heal;Mutator Amon Dehaka Heal;Mutator Amon Dehaka Heal;Mutator Amon Dehaka Heal;;Mutator Amon Dehaka Heal;Mutator Amon Dehaka Heal;;Mutator Amon Dehaka Heal;;;
Abil/Name/MutatorAmonDehakaLeap;Mutator Amon Dehaka Leap;Mutator Amon Dehaka Leap;Mutator Amon Dehaka Leap;Mutator Amon Dehaka Leap;;Mutator Amon Dehaka Leap;Mutator Amon Dehaka Leap;;Mutator Amon Dehaka Leap;;;
Abil/Name/MutatorAmonDehakaMirrorImage;Mutator Amon Dehaka Mirror Image;Mutator Amon Dehaka Mirror Image;Mutator Amon Dehaka Mirror Image;Mutator Amon Dehaka Mirror Image;;Mutator Amon Dehaka Mirror Image;Mutator Amon Dehaka Mirror Image;;Mutator Amon Dehaka Mirror Image;;;
Abil/Name/MutatorAmonKerriganApocalypse;Mutator Amon Kerrigan Apocalypse;Mutator Amon Kerrigan Apocalypse;Mutator Amon Kerrigan Apocalypse;Mutator Amon Kerrigan Apocalypse;Mutador - Amón - Kerrigan - Apocalipsis;Mutator Amon Kerrigan Apocalypse;Mutator Amon Kerrigan Apocalypse;돌연변이원 아몬 케리건 파멸;Mutator Amon Kerrigan Apocalypse;Mutador Apocalipse de Kerrigan Amon;突变因子 埃蒙 凯瑞甘 天启;Mutator Amon Kerrigan Apocalypse
Abil/Name/MutatorAmonKerriganBurrow;Mutator Amon Kerrigan Burrow;Mutator Amon Kerrigan Burrow;Mutator Amon Kerrigan Burrow;Mutator Amon Kerrigan Burrow;Mutador - Amón - Kerrigan - Enterrar;Mutator Amon Kerrigan Burrow;Mutator Amon Kerrigan Burrow;돌연변이원 아몬 케리건 잠복;Mutator Amon Kerrigan Burrow;Mutador Entocar de Kerrigan Amon;突变因子 埃蒙 凯瑞甘 潜地;Mutator Amon Kerrigan Burrow
Abil/Name/MutatorAmonKerriganPrimalSlash;Mutator Amon Kerrigan Primal Slash;Mutator Amon Kerrigan Primal Slash;Mutator Amon Kerrigan Primal Slash;Mutator Amon Kerrigan Primal Slash;Mutador - Amón - Kerrigan - Corte primigenio;Mutator Amon Kerrigan Primal Slash;Mutator Amon Kerrigan Primal Slash;돌연변이원 아몬 케리건 원시의 칼날;Mutator Amon Kerrigan Primal Slash;Mutador Corte Primevo de Kerrigan Amon;突变因子 埃蒙 凯瑞甘 原始切割;Mutator Amon Kerrigan Primal Slash
Abil/Name/MutatorAmonKerriganPsiStrikeWalk;Mutator Amon Kerrigan Psi Strike;Mutator Amon Kerrigan Psi Strike;Mutator Amon Kerrigan Psi Strike;Mutator Amon Kerrigan Psi Strike;Mutador - Amón - Kerrigan - Ataque psiónico;Mutator Amon Kerrigan Psi Strike;Mutator Amon Kerrigan Psi Strike;돌연변이원 아몬 케리건 사이오닉 강타;Mutator Amon Kerrigan Psi Strike;Mutador Ataque Psi de Kerrigan Amon;突变因子 埃蒙 凯瑞甘 灵能打击;Mutator Amon Kerrigan Psi Strike
Abil/Name/MutatorAmonKerriganUnburrow;Mutator Amon Kerrigan Unburrow;Mutator Amon Kerrigan Unburrow;Mutator Amon Kerrigan Unburrow;Mutator Amon Kerrigan Unburrow;Mutador - Amón - Kerrigan - Desenterrar;Mutator Amon Kerrigan Unburrow;Mutator Amon Kerrigan Unburrow;돌연변이원 아몬 케리건 잠복 해제;Mutator Amon Kerrigan Unburrow;Mutador Desentocar de Kerrigan Amon;突变因子 埃蒙 凯瑞甘 出地;Mutator Amon Kerrigan Unburrow
Abil/Name/MutatorAmonKhaydarinMonolith;Khaydarin Monolith;Khaydarin Monolith;Khaydarin Monolith;Khaydarin Monolith;Monolito khaydarín;Khaydarin Monolith;Khaydarin Monolith;케이다린 초석;Khaydarin Monolith;Monólito Khaydarin;凯达琳巨石;凱達林水晶碑
Abil/Name/MutatorAmonMakeServitors;Servitors;Servitors;Servitors;Servitors;Servidores;Servitors;Servitors;종복;Servitors;Servidores;仆从机;機械侍從
Abil/Name/MutatorAmonNovaNuke;Nuke;Nuke;Nuke;Nuke;Misil nuclear;Nuke;Nuke;핵;Nuke;Arma Nuclear;聚变打击;核彈攻擊
Abil/Name/MutatorAmonNovaWeaponImprovedCanisterRifleSnipe;Armor Piercing Shot;Armor Piercing Shot;Armor Piercing Shot;Armor Piercing Shot;Disparo antiarmadura;Armor Piercing Shot;Armor Piercing Shot;방어구 관통 사격;Armor Piercing Shot;Tiro Antiblindagem;穿甲射击;穿甲射擊
Abil/Name/MutatorAmonPhaseCannon;Phase Cannon;Phase Cannon;Phase Cannon;Phase Cannon;Cañón fásico;Phase Cannon;Phase Cannon;위상포;Phase Cannon;Canhão Fásico;相位光炮;相位加農砲
Abil/Name/MutatorAmonPrologueVoidArmor;Void Armor;Void Armor;Void Armor;Void Armor;Armadura del Vacío;Void Armor;Void Armor;공허의 갑옷;Void Armor;Armadura do Vazio;虚空护甲;虛空護甲
Abil/Name/MutatorAmonRaynorSnipe;Mutator Amon Raynor Snipe;Mutator Amon Raynor Snipe;Mutator Amon Raynor Snipe;Mutator Amon Raynor Snipe;Mutador - Amón - Raynor - Francotirar;Mutator Amon Raynor Snipe;Mutator Amon Raynor Snipe;돌연변이원 아몬 레이너 저격;Mutator Amon Raynor Snipe;Mutador Tiro de Precisão de Raynor Amon;突变因子 埃蒙 雷诺 狙击;Mutator Amon Raynor Snipe
Abil/Name/MutatorAmonReclamation;Reclamation;Reclamation;Reclamation;Reclamation;Recuperación;Reclamation;Reclamation;교화;Reclamation;Recuperação;回收;取回控制
Abil/Name/MutatorAmonShadowBlade;Shadow Blade;Shadow Blade;Shadow Blade;Shadow Blade;Cuchilla sombría;Shadow Blade;Shadow Blade;그림자 칼날;Shadow Blade;Lâmina Sombria;暗影之刃;暗影之刃
Abil/Name/MutatorAmonTychusTossGrenade;Mutator Amon Tychus Toss Grenade;Mutator Amon Tychus Toss Grenade;Mutator Amon Tychus Toss Grenade;Mutator Amon Tychus Toss Grenade;Mutador - Amón - Tychus - Lanzar granada;Mutator Amon Tychus Toss Grenade;Mutator Amon Tychus Toss Grenade;돌연변이원 아몬 타이커스 수류탄 던지기;Mutator Amon Tychus Toss Grenade;Mutador Lançar Granada de Tychus Amon;突变因子 埃蒙 泰凯斯 投掷手榴弹;Mutator Amon Tychus Toss Grenade
Abil/Name/MutatorAmonZagaraBanelingBarrage;Mutator Amon Zagara Baneling Barrage;Mutator Amon Zagara Baneling Barrage;Mutator Amon Zagara Baneling Barrage;Mutator Amon Zagara Baneling Barrage;Mutador - Amón - Zagara - Andanada Uetzi;Mutator Amon Zagara Baneling Barrage;Mutator Amon Zagara Baneling Barrage;돌연변이원 아몬 자가라 맹독충 난사;Mutator Amon Zagara Baneling Barrage;Mutador Barragem de Tatu-bomba de Zagara Amon;突变因子 埃蒙 扎加拉 爆虫冲锋;Mutator Amon Zagara Baneling Barrage
Abil/Name/MutatorAmonZagaraBurrow;Mutator Amon Zagara Burrow;Mutator Amon Zagara Burrow;Mutator Amon Zagara Burrow;Mutator Amon Zagara Burrow;Mutador - Amón - Zagara - Enterrar;Mutator Amon Zagara Burrow;Mutator Amon Zagara Burrow;돌연변이원 아몬 자가라 잠복;Mutator Amon Zagara Burrow;Mutador Entocar de Zagara Amon;突变因子 埃蒙 扎加拉 潜地;Mutator Amon Zagara Burrow
Abil/Name/MutatorAmonZagaraMassFrenzy;Mutator Amon Zagara Mass Frenzy;Mutator Amon Zagara Mass Frenzy;Mutator Amon Zagara Mass Frenzy;Mutator Amon Zagara Mass Frenzy;Mutador - Amón - Zagara - Frenesí en masa;Mutator Amon Zagara Mass Frenzy;Mutator Amon Zagara Mass Frenzy;돌연변이원 아몬 자가라 대규모 광란;Mutator Amon Zagara Mass Frenzy;Mutador Frenesi em Massa de Zagara Amon;突变因子 埃蒙 扎加拉 群体狂暴;Mutator Amon Zagara Mass Frenzy
Abil/Name/MutatorAmonZagaraMassRoachDrop;Mutator Amon Zagara Mass Roach Drop;Mutator Amon Zagara Mass Roach Drop;Mutator Amon Zagara Mass Roach Drop;Mutator Amon Zagara Mass Roach Drop;Mutador - Amón - Zagara - Inserción de Cucarachas en masa;Mutator Amon Zagara Mass Roach Drop;Mutator Amon Zagara Mass Roach Drop;돌연변이원 아몬 자가라 대규모 바퀴 투하;Mutator Amon Zagara Mass Roach Drop;Mutador Baratas em Massa de Zagara Amon;突变因子 埃蒙 扎加拉 蟑螂空投;Mutator Amon Zagara Mass Roach Drop
Abil/Name/MutatorAmonZagaraSpawnHunterKillers;Mutator Amon Zagara Spawn Hunter Killers;Mutator Amon Zagara Spawn Hunter Killers;Mutator Amon Zagara Spawn Hunter Killers;Mutator Amon Zagara Spawn Hunter Killers;Mutador - Amón - Zagara - Engendrar Cazadores asesinos;Mutator Amon Zagara Spawn Hunter Killers;Mutator Amon Zagara Spawn Hunter Killers;돌연변이원 아몬 자가라 추적 도살자 생성;Mutator Amon Zagara Spawn Hunter Killers;Mutador Gerar Caçadores-assassinos de Zagara Amon;突变因子 埃蒙  扎加拉 孵化屠猎者;Mutator Amon Zagara Spawn Hunter Killers
Abil/Name/MutatorAmonZagaraUnburrow;Mutator Amon Zagara Unburrow;Mutator Amon Zagara Unburrow;Mutator Amon Zagara Unburrow;Mutator Amon Zagara Unburrow;Mutador - Amón - Zagara - Desenterrar;Mutator Amon Zagara Unburrow;Mutator Amon Zagara Unburrow;돌연변이원 아몬 자가라 잠복 해제;Mutator Amon Zagara Unburrow;Mutador Desentocar de Zagara Amon;突变因子 埃蒙 扎加拉 出地;Mutator Amon Zagara Unburrow
Abil/Name/MutatorBoomBotDefuse;Boom Bot Defuse;Обезвреживание взрыв-бота;Bummbot entschärfen;Desactivar Robot bum;Desactivación de Bumbot;Désamorçage de robot bombe;Boom Bot Defuse;폭탄로봇 해체;Rozbrojenie bumbota;Desarmamento de Robomba;解除炸弹机器人;轟炸機器人解除
Abil/Name/MutatorBuyCandy;MutatorBuyCandy;MutatorBuyCandy;MutatorBuyCandy;MutatorBuyCandy;MutatorBuyCandy;MutatorBuyCandy;MutatorBuyCandy;돌연변이원사탕구매;MutatorBuyCandy;MutatorBuyCandy;MutatorBuyCandy;異變機制 - 買糖果
Abil/Name/MutatorCloakedMineAttack;Mutator Cloaked Mine Attack;Mutator Cloaked Mine Attack;Mutator Cloaked Mine Attack;Mutator Cloaked Mine Attack;Mutator Cloaked Mine Attack;Mutator Cloaked Mine Attack;Mutator Cloaked Mine Attack;돌연변이원 은폐 지뢰 공격;Mutator Cloaked Mine Attack;Mutador - Ataque Mina Camuflada;突变因子 隐形地雷 攻击;異變戰場 - 匿蹤地雷 - 攻擊
Abil/Name/MutatorEnvelopePickupGas50;MutatorEnvelopePickupGas50;MutatorEnvelopePickupGas50;MutatorEnvelopePickupGas50;MutatorEnvelopePickupGas50;MutatorEnvelopePickupGas50;MutatorEnvelopePickupGas50;MutatorEnvelopePickupGas50;MutatorEnvelopePickupGas50;MutatorEnvelopePickupGas50;MutatorEnvelopePickupGas50;MutatorEnvelopePickupGas50;MutatorEnvelopePickupGas50
Abil/Name/MutatorEnvelopePickupMinerals50;MutatorEnvelopePickupMinerals50;MutatorEnvelopePickupMinerals50;MutatorEnvelopePickupMinerals50;MutatorEnvelopePickupMinerals50;MutatorEnvelopePickupMinerals50;MutatorEnvelopePickupMinerals50;MutatorEnvelopePickupMinerals50;MutatorEnvelopePickupMinerals50;MutatorEnvelopePickupMinerals50;MutatorEnvelopePickupMinerals50;MutatorEnvelopePickupMinerals50;MutatorEnvelopePickupMinerals50
Abil/Name/MutatorInfestedTurkeyTerrifyingGobble;Terrifying Gobble;Terrifying Gobble;Terrifying Gobble;Terrifying Gobble;Graznido aterrador;Terrifying Gobble;Terrifying Gobble;공포의 게걸;Terrifying Gobble;Gluglu Terrível;Terrifying Gobble;駭人怪雞
Abil/Name/MutatorPickupGas50;Mutator Pickup Gas 50;Mutator Pickup Gas 50;Mutator Pickup Gas 50;Mutator Pickup Gas 50;Mutator Pickup Gas 50;Mutator Pickup Gas 50;Mutator Pickup Gas 50;돌연변이원 가스 획득 50;Mutator Pickup Gas 50;Mutador - Coleta Gás 50;突变因子 拾取瓦斯 50;異變戰場 - 拾取 - 瓦斯 - 50點
Abil/Name/MutatorPickupMinerals25;Pickup Minerals 25;Pickup Minerals 25;Pickup Minerals 25;Pickup Minerals 25;Pickup Minerals 25;Pickup Minerals 25;Pickup Minerals 25;광물 획득 25;Pickup Minerals 25;Coleta de Minérios 25;拾取晶体矿 25;拾取晶礦 - 25點
Abil/Name/MutatorPickupMinerals50;Mutator Pickup Minerals 50;Mutator Pickup Minerals 50;Mutator Pickup Minerals 50;Mutator Pickup Minerals 50;Mutator Pickup Minerals 50;Mutator Pickup Minerals 50;Mutator Pickup Minerals 50;돌연변이원 광물 획득 50;Mutator Pickup Minerals 50;Mutador - Coleta de Minérios 50;突变因子 拾取晶体矿 50;異變戰場 - 拾取 - 晶礦 - 50點
Abil/Name/MutatorReanimateFast;Reanimate (Fast);Reanimate (Fast);Reanimate (Fast);Reanimate (Fast);Reanimar (rápido);Reanimate (Fast);Reanimate (Fast);부활 (빠름);Reanimate (Fast);Reanimar (Rápido);复活 (快);活化（快速）
Abil/Name/MutatorReanimateSlow;Reanimate (Slow);Reanimate (Slow);Reanimate (Slow);Reanimate (Slow);Reanimar (lento);Reanimate (Slow);Reanimate (Slow);부활 (느림);Reanimate (Slow);Reanimar (Lento);复活 (慢);活化（緩慢）
Abil/Name/MutatorReanimateStandard;Reanimate;Reanimate;Reanimate;Reanimate;Reanimación;Reanimate;Reanimate;부활;Reanimate;Reanimar;复活;活化
Abil/Name/MutatorRemoveWorkerSleep;Wake Up!;Wake Up!;Wake Up!;Wake Up!;Wake Up!;Wake Up!;Wake Up!;기상!;Wake Up!;Acordar!;醒醒！;醒醒！
Abil/Name/MutatorSpiderMineBurrow;Spider Mine Burrow;Spider Mine Burrow;Spider Mine Burrow;Spider Mine Burrow;Spider Mine Burrow;Spider Mine Burrow;Spider Mine Burrow;거미 지뢰 잠복;Spider Mine Burrow;Entocar Mina-aranha;蜘蛛雷潜地;埋設蜘蛛詭雷
Abil/Name/MutatorSpiderMineUnburrow;Spider Mine Unburrow;Spider Mine Unburrow;Spider Mine Unburrow;Spider Mine Unburrow;Spider Mine Unburrow;Spider Mine Unburrow;Spider Mine Unburrow;거미 지뢰 잠복 해제;Spider Mine Unburrow;Mina-aranha - Desentocar;蜘蛛雷出地;蜘蛛詭雷鑽出
Abil/Name/MutatorWidowMineAttack;Mutator Widow Mine Attack;Mutator Widow Mine Attack;Mutator Widow Mine Attack;Mutator Widow Mine Attack;Mutador - Mina viuda - Ataque;Mutator Widow Mine Attack;Mutator Widow Mine Attack;돌연변이원 땅거미 지뢰 공격;Mutator Widow Mine Attack;Mutador - Mina Viúva - Ataque;;異變戰場 - 寡婦詭雷 - 攻擊
Abil/Name/MutatorWidowMineBurrow;Mutator Widow Mine Burrow;Mutator Widow Mine Burrow;Mutator Widow Mine Burrow;Mutator Widow Mine Burrow;Mutador - Mina viuda - Enterrar;Mutator Widow Mine Burrow;Mutator Widow Mine Burrow;돌연변이원 땅거미 지뢰 잠복;Mutator Widow Mine Burrow;Mutador - Mina Viúva - Entocar;突变因子 寡妇雷 潜地;異變戰場 - 寡婦詭雷 - 遁地
Abil/Name/MutatorWidowMineUnburrow;Mutator Widow Mine Unburrow;Mutator Widow Mine Unburrow;Mutator Widow Mine Unburrow;Mutator Widow Mine Unburrow;Mutador - Mina viuda - Desenterrar;Mutator Widow Mine Unburrow;Mutator Widow Mine Unburrow;돌연변이원 땅거미 지뢰 잠복 해제;Mutator Widow Mine Unburrow;Mutador - Mina Viúva - Desentocar;突变因子 寡妇雷 出地;異變戰場 - 寡婦詭雷 - 鑽出
Abil/Name/NPDomination;Parasitic Domination;Паразитическое подчинение;Parasitäre Kontrolle;Dominación parasítica;Dominación parasitaria;Domination parasitaire;Dominazione parassitaria;신경 지배;Dominacja pasożytnicza;Dominação Parasítica;寄生支配;寄生支配
Abil/Name/NPSwarm;NP Swarm;NP Рой;NP Swarm;Enjambre NP;NP - Enjambre;Essaim PN;NP Sciame;NP 군단;NP Swarm;Enxame NP;NP虫群;NP - 蟲群
Abil/Name/NanoRepair;Nano Repair;Nano Repair;Nano Repair;Nano Repair;Nanorreparación;Nano Repair;Nano Repair;나노 수리;Nano Repair;Nano-reparo;纳米修复;奈米修復
Abil/Name/NarudEpilogueBlink;Narud Epilogue Blink;Narud Epilogue Blink;Narud Epilogue Blink;Narud Epilogue Blink;Narud - Epílogo - Parpadeo;Narud Epilogue Blink;Narud Epilogue Blink;나루드 에필로그 점멸;Narud Epilogue Blink;Narud - Epílogo - Translação;Narud Epilogue Blink;
Abil/Name/NarudEpilogueBuild;Summon Void Corruption;Summon Void Corruption;Summon Void Corruption;Summon Void Corruption;Invocar Corrupción del Vacío;Summon Void Corruption;Summon Void Corruption;공허 타락 소환;Summon Void Corruption;Evocar Corrupção do Vazio;召唤虚空腐化;召喚虛空腐化
Abil/Name/NarudEpilogueMine;Narud Epilogue Void Mine;Narud Epilogue Void Mine;Narud Epilogue Void Mine;Narud Epilogue Void Mine;Narud - Epílogo - Mina del Vacío;Narud Epilogue Void Mine;Narud Epilogue Void Mine;나루드 에필로그 공허 지뢰;Narud Epilogue Void Mine;Narud Epilogue Void Mine;Narud Epilogue Void Mine;那魯 - 終章 - 虛空地雷
Abil/Name/NarudEpiloguePsionicShockwave;Narud Epilogue Psionic Shockwave;Narud Epilogue Psionic Shockwave;Narud Epilogue Psionic Shockwave;Narud Epilogue Psionic Shockwave;Narud - Epílogo - Oleada psiónica;Narud Epilogue Psionic Shockwave;Narud Epilogue Psionic Shockwave;나루드 에필로그 사이오닉 충격파;Narud Epilogue Psionic Shockwave;Narud Epilogue Psionic Shockwave;Narud Epilogue Psionic Shockwave;那魯 - 終章 - 幽能衝擊波
Abil/Name/NarudEpilogueShadowStep;Narud Epilogue Void Phase Step;Narud Epilogue Void Phase Step;Narud Epilogue Void Phase Step;Narud Epilogue Void Phase Step;Narud - Epílogo - Vacío - Fase - Paso;Narud Epilogue Void Phase Step;Narud Epilogue Void Phase Step;나루드 에필로그 공허 차원 이동;Narud Epilogue Void Phase Step;Narud Epilogue Void Phase Step;Narud Epilogue Void Phase Step;那魯 - 終章 - 虛空相位步法
Abil/Name/NarudEpilogueSpawnMode;Void Thrasher - Spawn Mode;Void Thrasher - Spawn Mode;Void Thrasher - Spawn Mode;Void Thrasher - Spawn Mode;Demoledor del Vacío - Engendrar - Modo;Void Thrasher - Spawn Mode;Void Thrasher - Spawn Mode;공허 분쇄자 - 생성 모드;Void Thrasher - Spawn Mode;Devastador do Vazio - Modo Gerar;Void Thrasher - Spawn Mode;虛空破壞獸 - 生成模式
Abil/Name/NarudEpilogueSpawnShadeofNarud;Summon Void Thrasher;Summon Void Thrasher;Summon Void Thrasher;Summon Void Thrasher;Invocar Demoledor del Vacío;Summon Void Thrasher;Summon Void Thrasher;공허 분쇄자 소환;Summon Void Thrasher;Evocar Devastador do Vazio;召唤虚空撕裂者;召喚虛空破壞獸
Abil/Name/NarudEpilogueStun;Narud Epilogue Void Prison;Narud Epilogue Void Prison;Narud Epilogue Void Prison;Narud Epilogue Void Prison;Narud - Epílogo - Prisión del Vacío;Narud Epilogue Void Prison;Narud Epilogue Void Prison;나루드 에필로그 공허의 감옥;Narud Epilogue Void Prison;Narud - Epílogo - Prisão Destruidora;Narud Epilogue Void Prison;那魯 - 終章 - 虛空牢獄
Abil/Name/NarudEpilogueTrain;Spawn Shades;Spawn Shades;Spawn Shades;Spawn Shades;Apariciones sombrías;Spawn Shades;Spawn Shades;그림자 생성;Spawn Shades;Gerar Vultos;创造阴影;產生幽影
Abil/Name/NarudEpilogueVoidMissile;Narud Epilogue Void Missile;Narud Epilogue Void Missile;Narud Epilogue Void Missile;Narud Epilogue Void Missile;Narud - Epílogo - Vacío - Misil;Narud Epilogue Void Missile;Narud Epilogue Void Missile;나루드 에필로그 공허 미사일;Narud Epilogue Void Missile;Narud - Epílogo - Míssil do Vazio;Narud Epilogue Void Missile;
Abil/Name/NarudVoidBuild;Summon Void Rift;Summon Void Rift;Summon Void Rift;Summon Void Rift;Invocar - Fisura del Vacío;Summon Void Rift;Summon Void Rift;공허 균열 소환;Summon Void Rift;Evocar Fissura do Vazio;召唤虚空裂痕;召喚虛空裂隙
Abil/Name/NexusBuild;NexusBuild;NexusBuild;NexusBuild;NexusBuild;NexusBuild;NexusBuild;NexusBuild;연결체 건설;NexusBuild;ConstruirNexus;NexusBuild;建造星核
Abil/Name/NovaAlarmBotEMP;NovaAlarmBotEMP;NovaAlarmBotEMP;NovaAlarmBotEMP;NovaAlarmBotEMP;NovaAlarmBotEMP;NovaAlarmBotEMP;NovaAlarmBotEMP;NovaAlarmBotEMP;NovaAlarmBotEMP;NovaAlarmBotEMP;NovaAlarmBotEMP;諾娃警報機器人電磁脈衝
Abil/Name/NovaAlarmBotToggleDetectionVisionMode;Toggle Detection/Vision Mode;Toggle Detection/Vision Mode;Toggle Detection/Vision Mode;Toggle Detection/Vision Mode;Activar modo visión y detección;Toggle Detection/Vision Mode;Toggle Detection/Vision Mode;탐지/시야 모드 전환;Toggle Detection/Vision Mode;Alternar Modo de Detecção/Visão;探测模式与目视模式;切換偵測/可視模式
Abil/Name/NovaApolloCloak;Apollo Suit Cloak;Apollo Suit Cloak;Apollo Suit Cloak;Apollo Suit Cloak;Traje de camuflaje Apolo;Apollo Suit Cloak;Apollo Suit Cloak;아폴로 전투복 은폐;Apollo Suit Cloak;Camuflagem do Traje Apolo;阿波罗战服隐形;阿波羅戰鬥服 - 匿蹤
Abil/Name/NovaBasicCloak;Cloak;Cloak;Cloak;Cloak;Camuflar;Cloak;Cloak;은폐;Cloak;Camuflagem;隐形;匿蹤
Abil/Name/NovaBoombotBurrow;Boombot Burrow;Boombot Burrow;Boombot Burrow;Boombot Burrow;Robot bum - Enterrar;Boombot Burrow;Boombot Burrow;폭발로봇 잠복;Boombot Burrow;Bomba-robô Entocar;Boombot Burrow;炸彈機器人遁地
Abil/Name/NovaCoopCasterAdvancedOptics;Nova Coop Caster Advanced Optics;Nova Coop Caster Advanced Optics;Nova Coop Caster Advanced Optics;Nova Coop Caster Advanced Optics;Nova - Coop - Lanzador - Ópticas avanzadas;Nova Coop Caster Advanced Optics;Nova Coop Caster Advanced Optics;노바 협동전 시전자 향상된 시력;Nova Coop Caster Advanced Optics;Nova - Coop - Lançador - Ótica Avançada;Nova Coop Caster Advanced Optics;諾娃 - 合作 - 施放者 - 進階光學瞄準器
Abil/Name/NovaCoopCasterDefensiveMatrix;Nova Coop Caster Defensive Matrix;Nova Coop Caster Defensive Matrix;Nova Coop Caster Defensive Matrix;Nova Coop Caster Defensive Matrix;Nova - Coop - Lanzador - Matriz defensiva;Nova Coop Caster Defensive Matrix;Nova Coop Caster Defensive Matrix;노바 협동전 시전자 방어막;Nova Coop Caster Defensive Matrix;Nova - Coop - Lançador - Matriz de Defesa;Nova Coop Caster Defensive Matrix;諾娃 - 合作 - 施放者 - 防禦矩陣
Abil/Name/NovaCoopCasterNuke;Nova Coop Caster Nuke;Nova Coop Caster Nuke;Nova Coop Caster Nuke;Nova Coop Caster Nuke;Nova - Coop - Lanzador - Misil nuclear;Nova Coop Caster Nuke;Nova Coop Caster Nuke;노바 협동전 시전자 핵;Nova Coop Caster Nuke;Nova - Coop - Lançador - Arma Nuclear;Nova Coop Caster Nuke;諾娃 - 合作 - 施放者 - 核彈
Abil/Name/NovaCoopCasterStunGrenade;Nova Coop Caster Stun Grenade;Nova Coop Caster Stun Grenade;Nova Coop Caster Stun Grenade;Nova Coop Caster Stun Grenade;Nova - Coop - Lanzador - Granada de aturdimiento;Nova Coop Caster Stun Grenade;Nova Coop Caster Stun Grenade;노바 협동전 시전자 기절 수류탄;Nova Coop Caster Stun Grenade;Nova - Coop - Lançador - Granada Atordoante;Nova Coop Caster Stun Grenade;諾娃 - 合作 - 施放者 - 震撼榴彈
Abil/Name/NovaCoopCasterSummonOdin;Summon Odin;Summon Odin;Summon Odin;Summon Odin;Invocar Odín;Summon Odin;Summon Odin;오딘 소환;Summon Odin;Evocar Odin;召唤奥丁;召喚奧丁
Abil/Name/NovaCoopDecoyTarget;Holo-Decoy;Holo-Decoy;Holo-Decoy;Holo-Decoy;Holoseñuelo;Holo-Decoy;Holo-Decoy;홀로그램 분신;Holo-Decoy;Clone Holográfico;全息诱饵;投影誘餌
Abil/Name/NovaCreateTripWireMedium;Create Trip Wire Medium;Create Trip Wire Medium;Create Trip Wire Medium;Create Trip Wire Medium;Crear trampa láser mediana;Create Trip Wire Medium;Create Trip Wire Medium;중간 인계철선 만들기;Create Trip Wire Medium;Criar Ativador Médio;创建绊索中型;製造陷阱線 - 中型
Abil/Name/NovaCreateTripWireSmall;Create Trip Wire Small;Create Trip Wire Small;Create Trip Wire Small;Create Trip Wire Small;Crear trampa láser pequeña;Create Trip Wire Small;Create Trip Wire Small;작은 인계철선 만들기;Create Trip Wire Small;Criar Ativador Pequeno;创建绊索小型;製造陷阱線 - 小型
Abil/Name/NovaDestroySonarDrone;Destroy Sonar Drone;Destroy Sonar Drone;Destroy Sonar Drone;Destroy Sonar Drone;Destruir dron sonar;Destroy Sonar Drone;Destroy Sonar Drone;음파 드론 파괴;Destroy Sonar Drone;Destruir Drone de Sonar;摧毁声呐无人机;摧毀聲納無人機
Abil/Name/NovaEMPStone;EMP;EMP;EMP;EMP;PEM;EMP;EMP;EMP;EMP;PEM;EMP;電磁脈衝波
